;file_name;node;kingdom_best_all;kingdom_best_all_score;phylum_best_all;phylum_best_all_score;class_best_all;class_best_all_score;order_best_all;order_best_all_score;family_best_all;family_best_all_score;genus_best_all;genus_best_all_score;species_best_all;species_best_all_score
0;Aegean_Sea_760;Anglerfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Lophiiformes;1.0;Lophiidae;0.748125;Lophius;0.748125;Lophius piscatorius;0.48750000000000004
1;Aegean_Sea_760;Benthic invertebrates;Animalia;0.9375;Annelida;0.240625;Polychaeta;0.2375;Phyllodocida;0.233125;Nephtyidae;0.234375;Mytilus;0.231875;Mytilus galloprovincialis;0.215
2;Aegean_Sea_760;Benthic small crustaceans;Animalia;1.0;Arthropoda;1.0;Malacostraca;0.995;Amphipoda;0.738125;Ampeliscidae;0.2325;Ampelisca;0.22625;Gammarus aequicauda;0.209375
3;Aegean_Sea_760;Detritus;;;;;;;;;;;;;;
4;Aegean_Sea_760;Dolphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.740625;Delphinidae;1.0;Tursiops;0.46875;Tursiops truncatus;0.25
5;Aegean_Sea_760;European anchovy;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Engraulidae;1.0;Engraulis;1.0;Engraulis encrasicolus;0.5
6;Aegean_Sea_760;European hake;Animalia;0.9968750000000001;Chordata;0.9968750000000001;Actinopterygii;0.9968750000000001;Gadiformes;0.9968750000000001;Merlucciidae;0.994375;Merluccius;0.9968750000000001;Merluccius merluccius;0.748125
7;Aegean_Sea_760;European pilchard;Animalia;0.99875;Chordata;0.99875;Actinopterygii;0.9975;Clupeiformes;0.9962500000000001;Clupeidae;0.9975;Sardina;0.98375;pilchardus;0.4493749999999999
8;Aegean_Sea_760;Flatfishes;Animalia;0.9975;Chordata;0.9975;Actinopterygii;0.9975;Pleuronectiformes;0.9975;Soleidae;0.74625;Solea;0.73375;Solea solea;0.49875
9;Aegean_Sea_760;Gurnards;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9975;Scorpaeniformes;0.7424999999999999;Triglidae;0.9325;Chelidonichthys;0.241875;Chelidonichthys lucerna;0.238125
